,publishedAt,title,tags,categoryId,liveBroadcastContent,defaultLanguage,defaultAudioLanguage,duration,definition,caption,licensedContent,contentRating,projection,viewCount,likeCount,favoriteCount,commentCount
24,2026-04-20T18:32:34Z,الدحيح | كيف تتفاوض مع طفلك؟ إليك الدليل الكامل,"['الدحيح', 'AJ+ عربي', 'Eldahih', 'السليط', 'معنى و زيادة', 'السليط الاخباري', 'نيكولاس خوري', 'احمد الغندور', 'AJ+ الدحيح', 'AJ+ كبريت', 'UC-4Kn', 'السليط الاخباري الموسم الرابع', 'نيكولاس خوري السليط الاخباري', 'برامج AJ+', 'برنامج الدحيح الجديد', 'الدحيح رمضان', 'elda7ee7', 'elda7ee7 aj+', 'AJ+', 'مع تميم', 'تميم البرغوثي', 'AJ+ مع تميم']",24,none,ar,ar,PT32M12S,hd,true,True,{},rectangular,2101917,126667,0,7187
25,2026-04-20T16:00:59Z,الجهبذ | من دويلات متناحرة إلى دولة واحدة.. كيف توحّدت إيطاليا؟,['History'],24,none,ar,ar,PT25M55S,hd,false,True,{},rectangular,139381,4314,0,332
26,2026-04-19T18:11:02Z,عزيزي.. انتظر عودة الدحيح!,,24,none,ar,ar,PT1M1S,hd,false,False,{},rectangular,105203,7621,0,667
27,2026-04-19T16:00:01Z,آخر ملوك إيران.. حكاية شاه إيران والسافاك والثورة البيضاء,,24,none,ar,ar,PT1M21S,hd,false,False,{},rectangular,111995,2184,0,72
28,2026-04-19T15:00:01Z,المُخبر الاقتصادي+ | الشباب الأمريكي يكره إسرائيل؟,,24,none,ar,ar,PT2M56S,hd,false,False,{},rectangular,371025,16549,0,329
29,2026-04-18T20:01:27Z,"الدحيح راجع، وهكذا أقنعه ""عزيزي"" وآخرون بالعودة..",,24,none,ar,ar,PT4M27S,hd,false,False,{},rectangular,318455,27455,0,3007
30,2026-04-18T18:00:53Z,المُخبر الاقتصادي+ | كيف تحاصر أمريكا إيران التي تحاصر العالم؟,['Economy'],24,none,ar,ar,PT30M51S,hd,false,True,{},rectangular,703796,17926,0,887
31,2026-04-17T16:01:08Z,المدوان | كيف سقط شاه إيران رغم النفط والجيش والدعم الخارجي؟,"['History', 'شاه ايران', 'مضيق هرمز', 'سقوط شاه ایران', 'الثورة الايرانية', 'الثورة الإيرانية وثائقي', 'ايران', 'ايران اليوم', 'اخبار ايران وامريكا', 'اخبار ايران اليوم عاجل', 'شرح علم ايران', 'نظام الحكم في ايران', 'المرشد الايراني', 'خامئني', 'مجتبى', 'شاه ايران والسادات', 'shah of iran']",24,none,ar,ar,PT11M19S,hd,false,True,{},rectangular,81692,1637,0,254
32,2026-04-16T19:00:41Z,السليط الإخباري 2026 | ما هي الصورة التي استفزت إسرائيل؟ وما علاقة ترمب بالسيد المسيح؟,"['أحمد الخالدي', 'إطلاق صواريخ', 'إيران', 'اتفاق وقف إطلاق النار', 'الحرب الأمريكية الإسرائيلية على إيران', 'الحرب الإيرانية', 'الحرب على لبنان', 'الحرس الثوري', 'الرئيس الأمريكي', 'النائب التونسي طارق مهدي', 'الهجوم على الخليج', 'بنت جبيل', 'ترامب', 'ترمب', 'جاسم العلي', 'جنوب لبنان', 'حزب الله', 'سيكابوب', 'قناة الجزيرة', 'مروة الحاراتي', 'مضيق هرمز', 'نتنياهو', 'نيكولاس خوري']",24,none,ar,ar,PT15M27S,hd,false,True,{},rectangular,257019,11651,0,821
33,2026-04-16T14:00:01Z,فضيحة نائب تونسي,,24,none,ar,ar,PT35S,hd,false,False,{},rectangular,324383,5722,0,300
